C2    C2    0.000
C_ca  C1    -0.043
O_ca  Zr    0.322
O_ox  Zr    0.361
C2    H2    0.152
H_oh  O_oh  -0.497
C_ca  O_ca  -0.3605
C1    C2    0.046
O_oh  Zr    0.180
